Computing M_k(n) for 0 <= n <= 1000 ...
    n |      type |                L4(n) | status
  453 | composite | -26284603682733580800 | OK
  454 | composite | -193450268140037560416 | OK
  455 | composite | -1466808899554252800 | OK
  456 | composite | -234296178051997843200 | OK
  457 |     prime |                    0 | OK
  458 | composite | -207677354144026203360 | OK
  459 | composite | -29255781359163340800 | OK
  460 | composite | -222862321669692835200 | OK
  461 |     prime |                    0 | OK
  462 | composite | -254182158652128537600 | OK
  463 |     prime |                    0 | OK
  464 | composite | -237383492769204091200 | OK
  465 | composite | -34308583747903180800 | OK
  466 | composite | -238902331452788727360 | OK
  467 |     prime |                    0 | OK
  468 | composite | -289245598525301811120 | OK
  469 | composite |   -88754546946971136 | OK
  470 | composite | -257843700415248480000 | OK
  471 | composite | -36205300251984015360 | OK
  472 | composite | -272620272075127435200 | OK
  473 | composite |    37459432801486080 | OK
  474 | composite | -312837045411464985600 | OK
  475 | composite | -2094017242196352000 | OK
  476 | composite | -292038686164072229760 | OK
  477 | composite | -40118191701686622720 | OK
  478 | composite | -293437368085825783680 | OK
  479 |     prime |                    0 | OK
  480 | composite | -357484995493553088000 | OK
  481 | composite |    16471657904083200 | OK
  482 | composite | -313890044601298746240 | OK
  483 | composite | -44665481658876825600 | OK
  484 | composite | -334056866192931045384 | OK
  485 | composite | -2492883249599232000 | OK
  486 | composite | -383051310103855118880 | OK
  487 |     prime |                    0 | OK
  488 | composite | -357084392282941669920 | OK
  489 | composite | -49258125108912501504 | OK
  490 | composite | -361382951779789212000 | OK
  491 |     prime |                    0 | OK
  492 | composite | -434013413581119476160 | OK
  493 | composite |   -14989121822223360 | OK
  494 | composite | -382926326684655499200 | OK
  495 | composite | -57308914686570624000 | OK
  496 | composite | -407320592490111083520 | OK
  497 | composite |  -183775711471672320 | OK
  498 | composite | -466779767730179581440 | OK
  499 |     prime |                    0 | OK
  500 | composite | -437893129939306860000 | OK
  501 | composite | -60094343530585566720 | OK
  502 | composite | -436014781315723764000 | OK
  503 |     prime |                    0 | OK
  504 | composite | -527829834655204099200 | OK
  505 | composite | -3553762808037408000 | OK
  506 | composite | -464865633465733209600 | OK
  507 | composite | -66227558114126223360 | OK
  508 | composite | -494242778915815480320 | OK
  509 |     prime |                    0 | OK
  510 | composite | -569858824986661411200 | OK
  511 | composite |  -254488667427348480 | OK
  512 | composite | -526623175946010147840 | OK
  513 | composite | -72914838554624140800 | OK
  514 | composite | -527719369853131524096 | OK
  515 | composite | -4218029122978944000 | OK
  516 | composite | -638510389920524499840 | OK
  517 | composite |    70804427742090240 | OK
  518 | composite | -562108170497589072000 | OK
  519 | composite | -80253476417138264064 | OK
  520 | composite | -601480606040076235200 | OK
  521 |     prime |                    0 | OK
  522 | composite | -683265200073498010080 | OK
  523 |     prime |                    0 | OK
  524 | composite | -635139444383760276576 | OK
  525 | composite | -93540957435326016000 | OK
  526 | composite | -635876118370664466240 | OK
  527 | composite |   -17129769818849280 | OK
  528 | composite | -769219941473270622720 | OK
  529 | composite |   -19774637690260992 | OK
  530 | composite | -681321608955570844800 | OK
  531 | composite | -96691206645303598080 | OK
  532 | composite | -718333700304888218880 | OK
  533 | composite |    42911979109009920 | OK
  534 | composite | -821321849910246724800 | OK
  535 | composite | -5877453256370841600 | OK
  536 | composite | -762780292455357933120 | OK
  537 | composite | -106096634200295182080 | OK
  538 | composite | -762952838882968196640 | OK
  539 | composite |  -367696093797559296 | OK
  540 | composite | -929041732471831171200 | OK
  541 |     prime |                    0 | OK
  542 | composite | -809985544122200584320 | OK
  543 | composite | -116195778891518376960 | OK
  544 | composite | -859868482749478667136 | OK
  545 | composite | -6902155287293587200 | OK
  546 | composite | -983613189794167296000 | OK
  547 |     prime |                    0 | OK
  548 | composite | -912250430376545356560 | OK
  549 | composite | -127035644996132941824 | OK
  550 | composite | -919008341564681676000 | OK
  551 | composite |   -35996980661913600 | OK
  552 | composite | -1102684519046241077760 | OK
  553 | composite |  -608623266920847360 | OK
  554 | composite | -966652192658250117216 | OK
  555 | composite | -147010574183135616000 | OK
  556 | composite | -1025619399350612213280 | OK
  557 |     prime |                    0 | OK
  558 | composite | -1172086847496217739520 | OK
  559 | composite |    64470328604537856 | OK
  560 | composite | -1096183320240238272000 | OK
  561 | composite | -151609585374606205440 | OK
  562 | composite | -1085271540002269394880 | OK
  563 |     prime |                    0 | OK
  564 | composite | -1312245631920627242496 | OK
  565 | composite | -9427503384369638400 | OK
  566 | composite | -1149217794586187120160 | OK
  567 | composite | -166249431798095923200 | OK
  568 | composite | -1218896580313044731520 | OK
  569 |     prime |                    0 | OK
  570 | composite | -1402295593533203980800 | OK
  571 |     prime |                    0 | OK
  572 | composite | -1289719298452670205120 | OK
  573 | composite | -180368084448893767680 | OK
  574 | composite | -1287921881270685505152 | OK
  575 | composite | -11030059000372608000 | OK
  576 | composite | -1556136188226789436800 | OK
  577 |     prime |                    0 | OK
  578 | composite | -1361285343881889955200 | OK
  579 | composite | -196391938845520502784 | OK
  580 | composite | -1454755176797661664800 | OK
  581 | composite | -1019821133291466240 | OK
  582 | composite | -1647694250900729922240 | OK
  583 | composite |   157694753148641280 | OK
  584 | composite | -1525617326353931244000 | OK
  585 | composite | -226153321541327980800 | OK
  586 | composite | -1520970244957279223520 | OK
  587 |     prime |                    0 | OK
  588 | composite | -1839685296889872563040 | OK
  589 | composite |   -45347837909760000 | OK
  590 | composite | -1620312133153202971200 | OK
  591 | composite | -232215207278840755200 | OK
  592 | composite | -1702850011819532197440 | OK
  593 |     prime |                    0 | OK
  594 | composite | -1943076749244164582400 | OK
  595 | composite | -16033787742470400000 | OK
  596 | composite | -1797789058849962010800 | OK
  597 | composite | -252179468921268979200 | OK
  598 | composite | -1791213685140466554240 | OK
  599 |     prime |                    0 | OK
  600 | composite | -2180955919396901976000 | OK
  601 |     prime |                    0 | OK
  602 | composite | -1891618554907074470400 | OK
  603 | composite | -273542160857186027520 | OK
  604 | composite | -2002175418260764535616 | OK
  605 | composite | -16783672460571878400 | OK
  606 | composite | -2284177252268228103360 | OK
  607 |     prime |                    0 | OK
  608 | composite | -2112161710904821981440 | OK
  609 | composite | -298374345973636531200 | OK
  610 | composite | -2120674302494413766400 | OK
  611 | composite |   131984119247984640 | OK
