Pre-computing partition stats for n=1..1000...

N     | Type       | Detector Value       | Status
455   | Comp       | 21953877120          | OK
456   | Comp       | 350729766400         | OK
457   | PRIME      | 0                    | OK
458   | Comp       | 232044345225         | OK
459   | Comp       | 82175683200          | OK
460   | Comp       | 290478288324         | OK
461   | PRIME      | 0                    | OK
462   | Comp       | 341352621600         | OK
463   | PRIME      | 0                    | OK
464   | Comp       | 287541745425         | OK
465   | Comp       | 104262253312         | OK
466   | Comp       | 253107587070         | OK
467   | PRIME      | 0                    | OK
468   | Comp       | 398506033975         | OK
469   | Comp       | 6260311200           | OK
470   | Comp       | 285193933128         | OK
471   | Comp       | 91712907520          | OK
472   | Comp       | 313736979675         | OK
473   | Comp       | 840747600            | OK
474   | Comp       | 381659482400         | OK
475   | Comp       | 20142062400          | OK
476   | Comp       | 329475229020         | OK
477   | Comp       | 100313508960         | OK
478   | Comp       | 287544257700         | OK
479   | PRIME      | 0                    | OK
480   | Comp       | 477076377330         | OK
481   | Comp       | 151779600            | OK
482   | Comp       | 299820626820         | OK
483   | Comp       | 110831123200         | OK
484   | Comp       | 352139498280         | OK
485   | Comp       | 23001035904          | OK
486   | Comp       | 435106160335         | OK
487   | PRIME      | 0                    | OK
488   | Comp       | 371011068225         | OK
489   | Comp       | 110793785040         | OK
490   | Comp       | 359540762949         | OK
491   | PRIME      | 0                    | OK
492   | Comp       | 510170770130         | OK
493   | Comp       | -470635200           | OK
494   | Comp       | 338811628050         | OK
495   | Comp       | 147416644032         | OK
496   | Comp       | 402251159640         | OK
497   | Comp       | 8514192960           | OK
498   | Comp       | 489240922800         | OK
499   | PRIME      | 0                    | OK
500   | Comp       | 442137253194         | OK
501   | Comp       | 125188209440         | OK
502   | Comp       | 367650966375         | OK
503   | PRIME      | 0                    | OK
504   | Comp       | 592980015550         | OK
505   | Comp       | 28289598000          | OK
506   | Comp       | 383192845200         | OK
507   | Comp       | 133223959680         | OK
508   | Comp       | 448190479200         | OK
509   | PRIME      | 0                    | OK
510   | Comp       | 582794147988         | OK
511   | Comp       | 9860636160           | OK
512   | Comp       | 471932748045         | OK
513   | Comp       | 144242832800         | OK
514   | Comp       | 413900813760         | OK
515   | Comp       | 31275481536          | OK
516   | Comp       | 648400756080         | OK
517   | Comp       | 1516918080           | OK
518   | Comp       | 440942327100         | OK
519   | Comp       | 149548220800         | OK
520   | Comp       | 545726346900         | OK
521   | PRIME      | 0                    | OK
522   | Comp       | 623454205665         | OK
523   | PRIME      | 0                    | OK
524   | Comp       | 523726576065         | OK
525   | Comp       | 203357772640         | OK
526   | Comp       | 464692282230         | OK
527   | Comp       | -531394560           | OK
528   | Comp       | 735686837200         | OK
529   | Comp       | -415446240           | OK
530   | Comp       | 521820498780         | OK
531   | Comp       | 172478077760         | OK
532   | Comp       | 576697821840         | OK
533   | Comp       | 498506400            | OK
534   | Comp       | 694812915450         | OK
535   | Comp       | 38002414464          | OK
536   | Comp       | 594631945665         | OK
537   | Comp       | 177560532240         | OK
